product_category,mean,count
bed_bath_table,0.9353480053239521,1837
furniture_decor,0.9345892411743335,1240
computers_accessories,0.9336489103395685,1276
telephony,0.9316488228598125,800
watches_gifts,0.9017035495819397,1133
auto,0.8622986281685998,776
sports_leisure,0.8513588379502359,1483
housewares,0.8502424858316523,1138
cool_stuff,0.8414117499923285,700
health_beauty,0.8075438318552657,1687
