,0
delivery_delay_days,0.6319507806775154
n_items,0.07584472992625244
approval_time_hours,0.0340173019581822
total_freight,0.02878163780589704
price_gap,0.02279823528880117
n_distinct_sellers,0.022117073479533848
freight_ratio,0.021212645316917352
product_category,0.019565746482933334
order_month,0.015645746069199568
order_hour,0.014657761342529147
competitor_price,0.012833505447260639
total_payment_value,0.011212644040363172
avg_item_price,0.009901061444296248
order_weekday,0.008332976846286366
max_installments,0.008038035571211594
total_price,0.0073877628434516965
same_state_delivery,0.006824408380291139
is_late,0.005384255179077224
season_Winter,0.004150780718729286
season_Summer,0.003918389254266774
seller_state_SP,0.002397088916309643
customer_state_RJ,0.0023233447447029622
customer_state_SP,0.0016023039811548386
customer_state_BA,0.0015991694119063503
customer_state_MG,0.0014950971072281362
customer_state_RS,0.0014157561820848706
customer_state_PR,0.0011710789429559823
seller_state_MG,0.0011361261188511426
customer_state_ES,0.0011315437737201887
n_distinct_products,0.001111714936106465
seller_state_RS,0.0010392286037508094
seller_state_RJ,0.0009233169453002662
payment_type_credit_card,0.0008861142406275476
season_Spring,0.0008763029148238999
seller_state_PR,0.0008640223700002835
season_Autumn,0.0008632442945902173
payment_type_boleto,0.0008068595072401177
is_weekend,0.000791564375617617
payment_type_voucher,0.0007855227323584744
customer_state_SC,0.0007571643942890307
seller_state_DF,0.0007505966216681293
customer_state_DF,0.0007145151620009836
customer_state_CE,0.0007126626786197027
seller_state_SC,0.000703804420626004
customer_state_GO,0.0006465607234374801
n_payment_methods,0.0005821089484006988
payment_type_debit_card,0.0005257853903251181
customer_state_MA,0.000489148246251519
customer_state_PE,0.00046793941897925494
is_pricier,0.0004370324088810498
customer_state_PA,0.0004087873250809952
customer_state_PI,0.0003959862743786017
seller_state_PE,0.0003533631444993156
customer_state_PB,0.00034365499234155933
customer_state_MS,0.00033137337583680405
customer_state_RO,0.00032478761328165603
customer_state_AL,0.00031367596131154043
customer_state_MT,0.00028250976213221065
customer_state_SE,0.00028052196711815313
seller_state_MT,0.0002605909872978502
seller_state_BA,0.00025176854180760717
seller_state_PB,0.00022644701768234748
seller_state_ES,0.0002245965327664701
customer_state_TO,0.00020015138928904086
seller_state_GO,0.00019275733590433738
customer_state_AC,0.00017676968106164676
seller_state_MA,0.0001595972457262052
seller_state_AM,0.00013730146942541867
seller_state_MS,0.00013535103813974884
customer_state_RN,9.056743019018935e-05
seller_state_SE,8.574255262453799e-05
seller_state_CE,7.32213756920729e-05
customer_state_AM,5.0072831506699376e-05
seller_state_RN,3.407580674280782e-05
customer_state_RR,3.0319135983299418e-05
seller_state_RO,2.7939979446665074e-05
customer_state_AP,2.5872646928075372e-05
seller_state_PI,0.0
seller_state_PA,0.0
